ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
74,cardiac-cardiovascular,67,University of Zurich,Switzerland,Zurich,63.6,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
75,cardiac-cardiovascular,45,University of Pittsburgh,United States,Pittsburgh,63.4,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
76,cardiac-cardiovascular,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,63.1,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
77,cardiac-cardiovascular,79,Technical University of Munich,Germany,Munich,62.7,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
78,cardiac-cardiovascular,149,University of Hamburg,Germany,Hamburg,62.7,66.3,"30,676",https://www.usnews.com/education/best-global-universities/university-of-hamburg-501079
79,cardiac-cardiovascular,346,Leipzig University,Germany,Leipzig,62.3,56.2,N/A,https://www.usnews.com/education/best-global-universities/leipzig-university-503504
80,cardiac-cardiovascular,99,University of Helsinki,Finland,Helsinki,62.3,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
81,cardiac-cardiovascular,150,University of Basel,Switzerland,Basel,62,66.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-basel-502059
82,cardiac-cardiovascular,21,Cornell University,United States,Ithaca,61.9,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
83,cardiac-cardiovascular,33,King's College London,United Kingdom,London (U.K.),61.9,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
84,cardiac-cardiovascular,413,Universite de Lorraine,France,Nancy,61.9,54.1,"61,235",https://www.usnews.com/education/best-global-universities/universite-de-lorraine-529568
85,cardiac-cardiovascular,115,University of Padua,Italy,Padua,61.8,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
86,cardiac-cardiovascular,41,University of North Carolina Chapel Hill,United States,Chapel Hill,61.7,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
87,cardiac-cardiovascular,,Universitats Herzzentrum Freiburg,Germany,Freiburg,61.4,N/A,N/A,https://www.usnews.com/education/best-global-universities/universitats-herzzentrum-freiburg-529629
88,cardiac-cardiovascular,217,University of Leicester,United Kingdom,Leicester,61.4,62.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-leicester-501221
89,cardiac-cardiovascular,185,University of Naples Federico II,Italy,Naples,60.9,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
90,cardiac-cardiovascular,265,Yeshiva University,United States,New York City,60.8,59.9,N/A,https://www.usnews.com/education/best-global-universities/yeshiva-university-197708
91,cardiac-cardiovascular,152,Case Western Reserve University,United States,Cleveland,60.6,66.1,"10,953",https://www.usnews.com/education/best-global-universities/case-western-reserve-university-201645
92,cardiac-cardiovascular,122,University of Bologna,Italy,Bologna,60.6,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
93,cardiac-cardiovascular,37,Monash University,Australia,Clayton,60.5,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
94,cardiac-cardiovascular,526,University of Brescia,Italy,Brescia,60.5,50.3,"15,134",https://www.usnews.com/education/best-global-universities/university-of-brescia-502286
95,cardiac-cardiovascular,459,University of Belgrade,Serbia,Belgrade,60.4,53,N/A,https://www.usnews.com/education/best-global-universities/university-of-belgrade-500616
96,cardiac-cardiovascular,109,University of Geneva,Switzerland,Geneva,60.2,69.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-geneva-504635
97,cardiac-cardiovascular,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),60,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
98,cardiac-cardiovascular,314,Vita-Salute San Raffaele University,Italy,Milan,60,57.7,N/A,https://www.usnews.com/education/best-global-universities/vita-salute-san-raffaele-university-501347
99,cardiac-cardiovascular,267,Aalborg University,Denmark,Aalborg,59.9,59.8,"16,818",https://www.usnews.com/education/best-global-universities/aalborg-university-501276
100,cardiac-cardiovascular,55,Ohio State University,United States,Columbus,59.6,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
101,cardiac-cardiovascular,98,University of Florida,United States,Gainesville,59.4,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
102,cardiac-cardiovascular,63,University of Wisconsin Madison,United States,Madison,59.4,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
103,cardiac-cardiovascular,439,Hannover Medical School,Germany,Hannover,59.2,53.5,N/A,https://www.usnews.com/education/best-global-universities/hannover-medical-school-503226
104,cardiac-cardiovascular,119,University of Virginia,United States,Charlottesville,58.6,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076
105,cardiac-cardiovascular,60,Universite Paris Saclay,France,Saint-Aubin,58.5,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
106,cardiac-cardiovascular,236,Goethe University Frankfurt,Germany,Frankfurt am Main,58.4,61.2,N/A,https://www.usnews.com/education/best-global-universities/goethe-university-frankfurt-503512
107,cardiac-cardiovascular,175,University of Calgary,Canada,Calgary,58.4,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
108,cardiac-cardiovascular,178,Aix-Marseille Universite,France,Marseille,58,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
109,cardiac-cardiovascular,165,Oregon Health & Science University,United States,Portland,58,65.5,N/A,https://www.usnews.com/education/best-global-universities/oregon-health-science-university-209490
110,cardiac-cardiovascular,167,University of Utah,United States,Salt Lake City,58,65.4,"30,967",https://www.usnews.com/education/best-global-universities/university-of-utah-230764
111,cardiac-cardiovascular,146,University of Liverpool,United Kingdom,Liverpool,57.7,66.6,"27,145",https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611
112,cardiac-cardiovascular,807,Hasselt University,Belgium,Hasselt,57.4,43,N/A,https://www.usnews.com/education/best-global-universities/hasselt-university-528960
113,cardiac-cardiovascular,192,University of Wurzburg,Germany,Wurzburg,57.4,63.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-wurzburg-505067
114,cardiac-cardiovascular,392,University of Mississippi,United States,University,57,54.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-mississippi-176017
115,cardiac-cardiovascular,241,Johannes Gutenberg University of Mainz,Germany,Mainz,56.9,60.9,N/A,https://www.usnews.com/education/best-global-universities/johannes-gutenberg-university-of-mainz-500317
116,cardiac-cardiovascular,129,Seoul National University (SNU),South Korea,Seoul,56.9,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
117,cardiac-cardiovascular,163,University of Gottingen,Germany,Gottingen,56.8,65.7,"30,221",https://www.usnews.com/education/best-global-universities/university-of-gottingen-502609
118,cardiac-cardiovascular,"1,103",Athens Medical School,Greece,Athens (Greece),56.6,36.5,N/A,https://www.usnews.com/education/best-global-universities/athens-medical-school-529124
119,cardiac-cardiovascular,178,University of Freiburg,Germany,Freiburg,56.4,64.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-freiburg-503940
120,cardiac-cardiovascular,223,University of Antwerp,Belgium,Antwerp,56.3,61.8,"15,857",https://www.usnews.com/education/best-global-universities/university-of-antwerp-505023
121,cardiac-cardiovascular,108,University of Arizona,United States,Tucson,56.3,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
