ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
100,biotechnology-applied-microbiology,234,Southeast University - China,China,Nanjing,40.8,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
101,biotechnology-applied-microbiology,337,Chalmers University of Technology,Sweden,Gothenburg,40.7,56.7,"9,513",https://www.usnews.com/education/best-global-universities/chalmers-university-of-technology-505279
102,biotechnology-applied-microbiology,"1,049",Konkuk University,South Korea,Seoul,40.7,37.6,N/A,https://www.usnews.com/education/best-global-universities/konkuk-university-503911
103,biotechnology-applied-microbiology,28,University of Sydney,Australia,Sydney,40.6,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
104,biotechnology-applied-microbiology,421,Jilin University,China,Changchun,40.3,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
105,biotechnology-applied-microbiology,526,"University of Natural Resources & Life Sciences, Vienna",Austria,Vienna,40.2,50.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-natural-resources-life-sciences-vienna-501157
106,biotechnology-applied-microbiology,61,Humboldt University of Berlin,Germany,Berlin,40.1,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
107,biotechnology-applied-microbiology,74,Leiden University,Netherlands,Leiden,40.1,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
108,biotechnology-applied-microbiology,143,Rutgers State University New Brunswick,United States,Piscataway Township,40.1,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
109,biotechnology-applied-microbiology,182,Eberhard Karls University of Tubingen,Germany,Tubingen,39.9,63.9,N/A,https://www.usnews.com/education/best-global-universities/eberhard-karls-university-of-tubingen-503424
110,biotechnology-applied-microbiology,152,Indiana University Bloomington,United States,Bloomington,39.9,66.1,N/A,https://www.usnews.com/education/best-global-universities/indiana-university-bloomington-151351
111,biotechnology-applied-microbiology,88,University of Groningen,Netherlands,Groningen,39.9,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
112,biotechnology-applied-microbiology,51,Georgia Institute of Technology,United States,Atlanta,39.8,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
113,biotechnology-applied-microbiology,282,Korea Advanced Institute of Science & Technology (KAIST),South Korea,Daejeon,39.8,59.1,"9,946",https://www.usnews.com/education/best-global-universities/korea-advanced-institute-of-science-technology-kaist-506336
114,biotechnology-applied-microbiology,203,National Taiwan University,Taiwan,Taipei,39.7,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
115,biotechnology-applied-microbiology,145,University of Nottingham,United Kingdom,Nottingham,39.5,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
116,biotechnology-applied-microbiology,115,University of Padua,Italy,Padua,39.5,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
117,biotechnology-applied-microbiology,247,Xiamen University,China,Xiamen,39.5,60.7,N/A,https://www.usnews.com/education/best-global-universities/xiamen-university-506410
118,biotechnology-applied-microbiology,67,University of Zurich,Switzerland,Zurich,39.3,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
119,biotechnology-applied-microbiology,72,Emory University,United States,Atlanta,39.1,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
120,biotechnology-applied-microbiology,25,Duke University,United States,"Durham (North Carolina, U.S.)",38.9,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
121,biotechnology-applied-microbiology,441,Hanyang University,South Korea,Seoul,38.9,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
122,biotechnology-applied-microbiology,143,Autonomous University of Barcelona,Spain,Barcelona,38.7,66.8,"31,933",https://www.usnews.com/education/best-global-universities/autonomous-university-of-barcelona-505700
