ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
25,food-science-technology,143,Rutgers State University New Brunswick,United States,Piscataway Township,69.8,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
26,food-science-technology,98,University of Florida,United States,Gainesville,69.2,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
27,food-science-technology,73,University of California Davis,United States,Davis,66.9,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
28,food-science-technology,42,University of Copenhagen,Denmark,Copenhagen,66.4,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
29,food-science-technology,185,University of Naples Federico II,Italy,Naples,65.5,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
30,food-science-technology,531,Institut Agro,France,Paris,65.4,50.2,N/A,https://www.usnews.com/education/best-global-universities/institut-agro-530029
31,food-science-technology,"1,443",Anhui Agricultural University,China,Hefei,64.9,29.1,N/A,https://www.usnews.com/education/best-global-universities/anhui-agricultural-university-529528
32,food-science-technology,247,Universidade do Porto,Portugal,Porto,64.2,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
33,food-science-technology,89,Shanghai Jiao Tong University,China,Shanghai,63.9,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
34,food-science-technology,547,Universiti Putra Malaysia,Malaysia,Serdang,62.9,49.8,"18,365",https://www.usnews.com/education/best-global-universities/universiti-putra-malaysia-500789
35,food-science-technology,65,King Abdulaziz University,Saudi Arabia,Jeddah,62.5,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
36,food-science-technology,517,University of Zagreb,Croatia,Zagreb,62.1,50.6,"65,436",https://www.usnews.com/education/best-global-universities/university-of-zagreb-502783
37,food-science-technology,109,Aarhus University,Denmark,Aarhus,62,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
38,food-science-technology,,Instituto Politecnico de Braganca,Portugal,Braganca,61.9,N/A,N/A,https://www.usnews.com/education/best-global-universities/instituto-politecnico-de-braganca-529114
39,food-science-technology,74,University of Illinois Urbana-Champaign,United States,Champaign,61.9,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
40,food-science-technology,625,University of Tabriz,Iran,Tabriz,61.9,47.7,"20,983",https://www.usnews.com/education/best-global-universities/university-of-tabriz-528957
41,food-science-technology,"1,072",Yangzhou University,China,Yangzhou,61.9,37.2,"31,066",https://www.usnews.com/education/best-global-universities/yangzhou-university-529253
42,food-science-technology,812,Hefei University of Technology,China,Hefei,61.1,42.9,N/A,https://www.usnews.com/education/best-global-universities/hefei-university-of-technology-528958
43,food-science-technology,662,Marche Polytechnic University,Italy,Ancona,61.1,46.6,N/A,https://www.usnews.com/education/best-global-universities/marche-polytechnic-university-503536
44,food-science-technology,"1,017",Universidade Federal Fluminense,Brazil,Niteroi,60.9,38.4,"49,554",https://www.usnews.com/education/best-global-universities/universidade-federal-fluminense-506244
45,food-science-technology,"1,735",Dalian Polytechnic University,China,Dalian,60.4,22,N/A,https://www.usnews.com/education/best-global-universities/dalian-polytechnic-university-529903
46,food-science-technology,540,Jinan University,China,Guangzhou,60.1,50,N/A,https://www.usnews.com/education/best-global-universities/jinan-university-505051
47,food-science-technology,35,University of British Columbia,Canada,Vancouver,60.1,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
48,food-science-technology,116,Michigan State University,United States,East Lansing,59.9,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
49,food-science-technology,136,University of Alberta,Canada,Edmonton,59.9,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
50,food-science-technology,366,Catholic University of the Sacred Heart,Italy,Milan,59.8,55.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-the-sacred-heart-503167
51,food-science-technology,866,Universidade de Vigo,Spain,Vigo,59.6,41.7,"18,146",https://www.usnews.com/education/best-global-universities/universidade-de-vigo-505924
52,food-science-technology,156,University of Milan,Italy,Milan,59.5,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
53,food-science-technology,50,KU Leuven,Belgium,Leuven,58.8,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
54,food-science-technology,122,University of Bologna,Italy,Bologna,58.8,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
55,food-science-technology,209,University of Turin,Italy,Turin,58.8,62.5,"58,463",https://www.usnews.com/education/best-global-universities/university-of-turin-502528
56,food-science-technology,313,University of Granada,Spain,Granada,58.7,57.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-granada-505316
57,food-science-technology,397,University College Cork,Ireland,Cork,58.5,54.5,"18,073",https://www.usnews.com/education/best-global-universities/university-college-cork-502427
58,food-science-technology,329,University of Tehran,Iran,Tehran,58.5,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
59,food-science-technology,702,South China Agricultural University,China,Guangzhou,58.4,45.6,N/A,https://www.usnews.com/education/best-global-universities/south-china-agricultural-university-529032
60,food-science-technology,507,Universidade do Minho,Portugal,Braga,58,51,"19,922",https://www.usnews.com/education/best-global-universities/universidade-do-minho-506228
61,food-science-technology,140,Purdue University West Lafayette Campus,United States,West Lafayette,57.9,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
62,food-science-technology,27,University of Melbourne,Australia,Parkville,57.9,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
63,food-science-technology,"1,506",Tianjin University Science & Technology,China,Tianjin,57.6,27.7,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-science-technology-529285
64,food-science-technology,54,McGill University,Canada,Montreal,57.4,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
65,food-science-technology,"1,281",Nanjing University of Finance & Economics,China,Nanjing,57.3,32.6,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-finance-economics-530042
